"text","created","id","sentiment"
"RT @option_snipper: $AAPL beat on both eps and revenues. SEES 4Q REV. $49B-$52B, EST. $49.1B https://t.co/hfHXqj0IOB","2017-08-01 20:31:56",892483055922724864,"positive"
"RT @option_snipper: $AAPL beat on both eps and revenues. SEES 4Q REV. $49B-$52B, EST. $49.1B https://t.co/hfHXqj0IOB","2017-08-01 20:31:55",892483051925778432,"positive"
"Let's see this break all timers. $AAPL 156.89","2017-08-01 20:31:55",892483050885582848,"neutral"
"RT @SylvaCap: Things might get ugly for $aapl with the iphone delay. With $aapl down that means almost all of the FANG stocks were down pos…","2017-08-01 20:31:55",892483049040097280,"negative"
"$AAPL - wow! This was supposed to be a throw-away quarter and AAPL beats by over 500 million in revenue! Trillion dollar company by 2018!","2017-08-01 20:31:54",892483047530090496,"neutral"
"RT @CNBCnow: EARNINGS: Apple Q3 EPS $1.67 vs. $1.57 Est.; Q3 Revs. $45.4B vs. $44.89B Est. • $AAPL https://t.co/UzI8Uh9GJI https://t.co/WzX…","2017-08-01 20:31:54",892483045265211392,"neutral"
"RT @CNBCnow: EARNINGS: Apple Q3 EPS $1.67 vs. $1.57 Est.; Q3 Revs. $45.4B vs. $44.89B Est. • $AAPL https://t.co/UzI8Uh9GJI https://t.co/WzX…","2017-08-01 20:31:53",892483042861867008,"neutral"
"RT @Selerity: #BREAKING: Apple $AAPL Q3 Earnings Per Share (EPS), $1.67 vs. $1.57 expected","2017-08-01 20:31:53",892483042534731776,"positive"
"RT @Selerity: #BREAKING: Apple $AAPL Q3 Revenue, $45.41B vs. $44.9B expected","2017-08-01 20:31:53",892483041100259328,"neutral"
"RT @JackWangCFA: #Apple @apple $aapl #earnings #RealTime #BREAKING Rev $45.4B &amp; EPS of $1.67 vs #street #consensus #estimate $44.9B; EPS $1…","2017-08-01 20:31:51",892483033839706112,"neutral"
"RT @Selerity: #BREAKING: Apple $AAPL Q3 iPhone Shipments, 41.03M vs. 40.5M expected","2017-08-01 20:31:51",892483032359346176,"neutral"
"$AAPL probably tanks tomorrow lol","2017-08-01 20:31:50",892483030056611840,"neutral"
"$AAPL Actual 1.67 E, 45.4 B Rev https://t.co/YY4XTrHdP7","2017-08-01 20:31:49",892483026374021120,"positive"
"RT @Super1NYC: $AAPL Apple Reports Q3 EPS $1.67 vs $1.57 Est., Sales $45.4B vs $44.89B Est.","2017-08-01 20:31:49",892483025967210496,"neutral"
"RT @SylvaCap: Things might get ugly for $aapl with the iphone delay. With $aapl down that means almost all of the FANG stocks were down pos…","2017-08-01 20:31:48",892483020380397568,"negative"
"RT @ReformedBroker: There are 79 analysts covering $AAPL tonight but you probably have an edge.","2017-08-01 20:31:48",892483020195856384,"neutral"
"RT @CNBC: EARNINGS: Apple Q3 EPS $1.67 vs. $1.57 Est.; Q3 Revs. $45.4B vs. $44.89B Est. • $AAPL https://t.co/eGDf10AZR7 https://t.co/5NKpNC…","2017-08-01 20:31:47",892483018597814272,"neutral"
"RT @CNBCnow: EARNINGS: Apple Q3 EPS $1.67 vs. $1.57 Est.; Q3 Revs. $45.4B vs. $44.89B Est. • $AAPL https://t.co/UzI8Uh9GJI https://t.co/WzX…","2017-08-01 20:31:47",892483017649926144,"neutral"
"$AAPL nice beat big move coming in hot https://t.co/91imzKkX2B","2017-08-01 20:31:43",892483000033841152,"neutral"
"good $AAPL numbers, services +22%","2017-08-01 20:31:42",892482995826946048,"positive"
"RT @CNBCnow: EARNINGS: Apple Q3 EPS $1.67 vs. $1.57 Est.; Q3 Revs. $45.4B vs. $44.89B Est. • $AAPL https://t.co/UzI8Uh9GJI https://t.co/WzX…","2017-08-01 20:31:41",892482992844582912,"neutral"
"RT @Super1NYC: $AAPL Apple Reports Q3 EPS $1.67 vs $1.57 Est., Sales $45.4B vs $44.89B Est.","2017-08-01 20:31:40",892482989644546048,"neutral"
"$AAPL impressive all round.","2017-08-01 20:31:40",892482986700099584,"neutral"
"RT @SylvaCap: Things might get ugly for $aapl with the iphone delay. With $aapl down that means almost all of the FANG stocks were down pos…","2017-08-01 20:31:38",892482981411135488,"negative"
"$AAPL Revenue up $45.41B over the estimate of $44.89B","2017-08-01 20:31:37",892482975501348864,"neutral"
"RT @Benzinga: Apple Sees Q4 Sales $49B-$52B vs $49.21B Est. $AAPL","2017-08-01 20:31:37",892482974813487104,"neutral"
"Apple beats on revenue and profit. Up 2.7 pct in after-hours $AAPL","2017-08-01 20:31:37",892482974498914304,"neutral"
"is $AAPL a trillion dollar company yet?","2017-08-01 20:31:36",892482969528655872,"neutral"
"Breaking: Cijfers Apple $AAPL 
AAPL EPS $1.67, Exp. $1.57
*APPLE SEES 4Q REV. $49B-$52B, EST. $49.1B","2017-08-01 20:31:36",892482969075634176,"neutral"
"RT @Benzinga: Apple Reports Q3 EPS $1.67 vs $1.57 Est., Sales $45.4B vs $44.89B Est. $AAPL https://t.co/Hi2SPWlPZp","2017-08-01 20:31:35",892482968597483520,"neutral"
"RT @SylvaCap: Things might get ugly for $aapl with the iphone delay. With $aapl down that means almost all of the FANG stocks were down pos…","2017-08-01 20:31:35",892482968383614976,"negative"
"Fruity… $AAPL https://t.co/rX77wbSNQ5","2017-08-01 20:31:35",892482968240967680,"neutral"
"$AAPL Apple Sees Q4 Sales $49B-$52B vs $49.21B Est. Apple Reports Q3 iPhone 41M, iPad Units 11.42M, MAC 4.29M Units","2017-08-01 20:31:33",892482959554609152,"neutral"
"RT @CNBCnow: EARNINGS: Apple Q3 EPS $1.67 vs. $1.57 Est.; Q3 Revs. $45.4B vs. $44.89B Est. • $AAPL https://t.co/UzI8Uh9GJI https://t.co/WzX…","2017-08-01 20:31:32",892482952373821440,"neutral"
"RT @CNBCnow: EARNINGS: Apple Q3 EPS $1.67 vs. $1.57 Est.; Q3 Revs. $45.4B vs. $44.89B Est. • $AAPL https://t.co/UzI8Uh9GJI https://t.co/WzX…","2017-08-01 20:31:32",892482952277499904,"neutral"
"RT @CNBC: EARNINGS: Apple Q3 EPS $1.67 vs. $1.57 Est.; Q3 Revs. $45.4B vs. $44.89B Est. • $AAPL https://t.co/eGDf10AZR7 https://t.co/5NKpNC…","2017-08-01 20:31:30",892482944853577728,"neutral"
"RT @option_snipper: $AAPL beat on both eps and revenues. SEES 4Q REV. $49B-$52B, EST. $49.1B https://t.co/hfHXqj0IOB","2017-08-01 20:31:29",892482943150587904,"positive"
"RT @Selerity: #BREAKING: Apple $AAPL Q3 iPhone Shipments, 41.03M vs. 40.5M expected","2017-08-01 20:31:29",892482941305077760,"neutral"
